lat,lng,violationdescription
40.025538,-75.096042,EXT A-VACANT LOT CLEAN/MAINTAI
40.024071,-75.095072,CLIP VIOLATION NOTICE
39.945799,-75.170521,WORKMANLIKE- BUILDING CODE
39.952997,-75.231275,LICENSE-RES SFD/2FD
40.058003,-75.064958,PERMZ- CONST REMOV CHANGE
40.019979,-75.093926,EXT A-CLEAN RUBBISH/GARBAGE
40.020526,-75.093589,INT COMBUSTIBLE WASTE ACCUMUL
40.021291,-75.093338,INT S-FLOOR REPAIR
40.021291,-75.093338,FIRE-PULL STATION SIGNS
40.021291,-75.093338,FA-REPAIR SYSTEM
39.953975,-75.236864,EXT A-VACANT LOT CLEAN/MAINTAI
40.057447,-75.063986,CLIP VIOLATION NOTICE
39.95375,-75.237334,VACANT PROP STANDARD
39.95375,-75.237334,INT S-WALLS REPAIR/MAINT SANI
40.055085,-75.059001,HIGH WEEDS-CUT
40.032175,-75.10709,FIRE-COMM KITCH EXHAUST CLEAN
40.032175,-75.10709,DECO/FURN-EXPLOSIVE/HIGH FLAM
40.032175,-75.10709,PERMB- WORK NOT SAME AS PERMIT
40.032175,-75.10709,PERMB- CONST ERECT NEW STRUCT
40.032175,-75.10709,SPECIAL ASSEMBLY OCC LR
40.033065,-75.106406,PERM - MUST POST
40.033065,-75.106406,PERMB- ALTER REP'R EXT PORTION
39.954143,-75.238206,SWO- CONSTR W/O FIRE PERMIT
40.054855,-75.058587,HIGH WEEDS-CUT
40.054176,-75.058339,CLIP VIOLATION NOTICE
40.05413,-75.058256,TREES OVERHANGING ENCROACH
40.032661,-75.10597,RUBBISH/GARBAGE EXTERIOR-OWNER
40.032661,-75.10597,CLIP VIOLATION NOTICE
40.032596,-75.1059,HIGH WEEDS-CUT
40.032596,-75.1059,RUBBISH/GARBAGE EXTERIOR-OWNER
40.031565,-75.105654,RUBBISH/GARBAGE EXTERIOR-OWNER
40.031565,-75.105654,CLIP VIOLATION NOTICE
40.031524,-75.1056,INT S-WALLS REPAIR/MAINT SANI
40.031524,-75.1056,EXT S-WALLS MAKE WEATHERTIGHT
40.030994,-75.105321,HAZMAT-INDIV CARTON ETC LABEL
40.030994,-75.105321,HAZMAT-MAINT MSDS/ON PREMISES
40.015496,-75.094422,EXT S-WINDOW REPAIR/MAINTAIN
40.015496,-75.094422,FIRE-ELECT EXT CORDS PROHIB
40.015496,-75.094422,HAZMAT-EMERG INFO CONTAINER
40.015496,-75.094422,FIRE-PORT OPEN FLAME PROHIB
40.015496,-75.094422,REP GARAGE-PROV SELF-CLOS CAN
40.015496,-75.094422,HAZMAT-LIC REQ?D
40.015496,-75.094422,AFDS-REQD EXIST MIX RES/NON-R
40.015496,-75.094422,FIRE-MAINTAIN ASSEMBLY
40.014682,-75.093063,INT S-WALLS REPAIR/MAINT SANI
40.014682,-75.093063,EXT S-WINDOW WEATHERTIGHT
40.014682,-75.093063,CO DETECTOR NEEDED
40.014682,-75.093063,EXT A-CLEAN RUBBISH/GARBAGE
40.011017,-75.093423,REFRIGERATOR DOOR REMOVE
40.010893,-75.093423,LICENSE-VAC LOT
40.010568,-75.09328,HIGH WEEDS-CUT
39.954489,-75.241006,"INT A-EXTERMINATE, TENANT"
39.954515,-75.241206,PENALTY- NO ELEC PERM INFO
40.052344,-75.055047,CLIP VIOLATION NOTICE
40.014167,-75.093292,PENALTY- NO ELEC PERM INFO
40.014167,-75.093292,PENALTY- NO BLDG PERM INFO
40.01414,-75.092754,LICENSE-RES SFD/2FD
39.954371,-75.240058,EXT S-EXPOSED SURFACES MAINTAI
39.954384,-75.240174,ARCHITECT/ENGINEER SERVICES
39.954434,-75.240555,VACANT BLDG UNSECURED COUNT
39.954434,-75.240555,LICENSE-VAC RES BLDG
39.954434,-75.240555,VACANT PROP STANDARD
40.010445,-75.094285,HAZMAT ID ABOVEGROUND TANKS
40.010445,-75.094285,PERM Z- NEW USE
40.010445,-75.094285,ANNUAL CERT FIRE SUPP
40.010445,-75.094285,OBTAIN PERMIT EXTEN SPRKLR SYS
40.010445,-75.094285,FIRE-ELECT EXT CORDS PROHIB
40.010445,-75.094285,ANNUAL CERT FIRE SUPP
40.01349,-75.092384,CLIP VIOLATION NOTICE
40.01349,-75.092384,HIGH WEEDS-CUT
40.034868,-75.107797,CLIP VIOLATION NOTICE
39.952546,-75.227719,CO DETECTOR NEEDED
39.952845,-75.227766,LICENSE-VAC RES BLDG
39.953477,-75.235154,LICENSE-VAC RES BLDG
39.984884,-75.115239,CLIP VIOLATION NOTICE
39.95329,-75.231322,DRAINAGE-DOWNSPOUT REPR/REPLC
39.95332,-75.231555,INT-KITCHEN SINK REQ'D-RES
39.95332,-75.231555,ELEC PROPERLY INSTALL-NR
39.95332,-75.231555,DRAINAGE-DOWNSPOUT REPR/REPLC
40.094808,-74.979035,PLUMBING SYSTEMS-GENERAL
40.094808,-74.979035,EXT S-WINDOW WEATHERTIGHT
40.094808,-74.979035,EXT S-LOCKS MAINTAIN
40.009163,-75.092393,DRAINAGE-DOWNSPOUT REPR/REPLC
40.008939,-75.09218,STOP WORK ORDER
40.00869,-75.091938,FA-REPAIR SYSTEM
40.00869,-75.091938,ANNUAL CERT FIRE ALARM
40.008621,-75.091902,RUBBISH/GARBAGE EXTERIOR-OWNER
40.008621,-75.091902,LICENSE - RENTAL PROPERTY
39.984668,-75.116136,EXT A-CLEAN RUBBISH/GARBAGE
39.984551,-75.115859,VACANT PROP STANDARD
39.984574,-75.115817,CLIP VIOLATION NOTICE
40.095447,-74.978106,CLIP VIOLATION NOTICE
40.095519,-74.977997,HIGH WEEDS-CUT
40.095787,-74.977608,ROOF PARTIALLY COLLAPSED
40.095846,-74.977517,HIGH WEEDS-CUT
40.09595,-74.975095,EGRESS-ASSEM OCC SIGNS
39.952487,-75.227243,CLIP VIOLATION NOTICE
39.952786,-75.227288,ROOF PARTIALLY COLLAPSED
39.952786,-75.227288,PERMB- PARTIAL DEMOL
39.952786,-75.227288,LICENSE-RES GENERAL
39.953726,-75.234834,EXT A-CLEAN WEEDS/PLANTS
39.953726,-75.234834,LICENSE-RES SFD/2FD
39.984617,-75.115737,LICENSE-RES GENERAL
39.984638,-75.115696,VACANT LOT LICENSE
39.984684,-75.115614,EXT A-VACANT LOT CLEAN/MAINTAI
39.984929,-75.115646,FLOOR/CEILING PARTIALLY C ID
39.984929,-75.115646,ROOF PARTIALLY COLLAPSED ID
39.984929,-75.115646,WALL PARTIALLY COLLAPSED ID
40.040343,-75.111951,FA-AUDIBILITY
40.040343,-75.111951,OBTAIN PERMIT EXTEN ALARM SYS
40.036813,-75.110773,"INT A-EXTERMINATE, TENANT"
40.036535,-75.108092,LICENSE-VAC COMM BLDG
40.03575,-75.108905,PERMB- ALTER REP'R EXT PORTION
40.034918,-75.107846,PENALTY- NO ELEC PERM INFO
39.987035,-75.111674,UTILITIES-RESTORE WATER-RES
39.987035,-75.111674,INT-PLMBG MAINT FIXTURES-RES
39.987035,-75.111674,INT S-WALLS REPAIR/MAINT SANI
40.03327,-75.107427,EXT A-CLEAN RUBBISH/GARBAGE
39.952788,-75.229686,VACANT BLDG UNSECURED COUNT
39.953072,-75.229842,EXT S-ROOF REPAIR
39.952829,-75.230003,ROOF PARTIALLY COLLAPSED
39.952829,-75.230003,LICENSE-RES SFD/2FD
39.952835,-75.230056,WALL DETERIORATED
39.95321,-75.230682,FIRE EXTING-INSTALL R2
39.944639,-75.161929,LICENSE-RES SFD/2FD
40.059782,-75.068664,CLIP VIOLATION NOTICE
40.059546,-75.06824,HIGH WEEDS-CUT
40.05901,-75.066758,HIGH WEEDS-CUT
